dest,classification,source,upstream_repo,upstream_revision,license,required_attribution,modifications
.dockerignore,A,release/sources/.dockerignore,,,MPL-2.0,,written for GRND0 public release
.env.example,A,release/sources/.env.example,,,MPL-2.0,,written for GRND0 public release
.github/workflows/ci.yml,A,release/sources/.github/workflows/ci.yml,,,MPL-2.0,,written for GRND0 public release
.gitignore,A,release/sources/.gitignore,,,MPL-2.0,,written for GRND0 public release
CHANGELOG.md,A,release/sources/CHANGELOG.md,,,MPL-2.0,,written for GRND0 public release
CODE_OF_CONDUCT.md,C,release/sources/CODE_OF_CONDUCT.md,https://www.contributor-covenant.org/version/2/1/code_of_conduct.html,2.1,CC-BY-4.0,Contributor Covenant version and source,enforcement contact set to repository security-advisory channel
CONTRIBUTING.md,A,release/sources/CONTRIBUTING.md,,,MPL-2.0,,written for GRND0 public release
DEVELOPMENT.md,A,release/sources/DEVELOPMENT.md,,,MPL-2.0,,written for GRND0 public release
LICENSE,C,release/sources/LICENSE,https://www.mozilla.org/MPL/2.0/,2.0,MPL-2.0,unaltered license text,none
LICENSING.md,A,release/sources/LICENSING.md,,,MPL-2.0,,written for GRND0 public release
NOTICE,A,release/sources/NOTICE,,,MPL-2.0,,written for GRND0 public release
README.md,A,release/sources/README.md,,,MPL-2.0,,written for GRND0 public release
RELEASING.md,A,release/sources/RELEASING.md,,,MPL-2.0,,written for GRND0 public release
RESULTS.md,A,release/sources/RESULTS.md,,,MPL-2.0,,written for GRND0 public release
SECURITY.md,A,release/sources/SECURITY.md,,,MPL-2.0,,written for GRND0 public release
THIRD_PARTY_NOTICES.md,B,release/artifacts/THIRD_PARTY_NOTICES.md,,,MPL-2.0,,generated release artifact
TRADEMARKS.md,A,release/sources/TRADEMARKS.md,,,MPL-2.0,,written for GRND0 public release
artifacts/capability-profile-proof.json,B,release/artifacts/capability-profile-proof.json,,,MPL-2.0,,generated from staged capability-profile verification
artifacts/clean-install-proof.json,B,release/artifacts/clean-install-proof.json,,,MPL-2.0,,generated release artifact
artifacts/dependency-licenses.json,B,release/artifacts/dependency-licenses.json,,,MPL-2.0,,generated release artifact
artifacts/drive-backend-routing-mixed.json,B,release/artifacts/drive-backend-routing-mixed.json,,,MPL-2.0,,generated by mixed local and cloud-compatible backend routing verification
artifacts/drive-showcase-gpu.json,B,release/artifacts/drive-showcase-gpu.json,,,MPL-2.0,,generated by the real-model native Vulkan drive with model identity normalized
artifacts/drive-showcase-local.json,B,release/artifacts/drive-showcase-local.json,,,MPL-2.0,,generated by the real-model local-only bundled inference drive with model identity normalized
artifacts/drive-showcase-no-web.json,B,release/artifacts/drive-showcase-no-web.json,,,MPL-2.0,,generated by the real-provider conversation drive with sensitive values normalized
artifacts/drive-showcase-web.json,B,release/artifacts/drive-showcase-web.json,,,MPL-2.0,,generated by the real-provider web-grounding drive with sensitive values normalized
artifacts/gpu-runtime-proof.json,B,release/artifacts/gpu-runtime-proof.json,,,MPL-2.0,,generated from Vulkan device discovery and native GPU route verification
artifacts/leak-gate-report.json,B,leak_report,,,MPL-2.0,,generated by fail-closed leak gate
artifacts/provenance-ledger.csv,B,provenance_ledger,,,MPL-2.0,,generated from manifest provenance records
artifacts/sbom.spdx.json,B,release/artifacts/sbom.spdx.json,,,MPL-2.0,,generated release artifact
artifacts/wsl-routing-proof.json,B,release/artifacts/wsl-routing-proof.json,,,MPL-2.0,,generated by the real-model WSL routing verification with private runtime paths omitted
assets/brand/grnd0-logo.png,B,logo_png,,,MPL-2.0,,deterministic clean-room raster generation
assets/showcase/README.md,A,release/sources/assets/showcase/README.md,,,MPL-2.0,,written for GRND0 public release
assets/showcase/TRANSCRIPT.md,A,release/sources/assets/showcase/TRANSCRIPT.md,,,MPL-2.0,,written for GRND0 public release
assets/showcase/captures/01.png,B,release/sources/assets/showcase/captures/01.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/02.png,B,release/sources/assets/showcase/captures/02.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/03.png,B,release/sources/assets/showcase/captures/03.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/04.png,B,release/sources/assets/showcase/captures/04.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/05.png,B,release/sources/assets/showcase/captures/05.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/06.png,B,release/sources/assets/showcase/captures/06.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/07.png,B,release/sources/assets/showcase/captures/07.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/08.png,B,release/sources/assets/showcase/captures/08.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/09.png,B,release/sources/assets/showcase/captures/09.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/10.png,B,release/sources/assets/showcase/captures/10.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/11.png,B,release/sources/assets/showcase/captures/11.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/12.png,B,release/sources/assets/showcase/captures/12.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/13.png,B,release/sources/assets/showcase/captures/13.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/14.png,B,release/sources/assets/showcase/captures/14.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/15.png,B,release/sources/assets/showcase/captures/15.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
assets/showcase/captures/16.png,B,release/sources/assets/showcase/captures/16.png,,,MPL-2.0,,chat-client screenshot of a live GRND0 session; image metadata stripped for release
compose.knowledge.example.yml,A,release/sources/compose.knowledge.example.yml,,,MPL-2.0,,written for GRND0 public release
configs/GRND0_MODEL_CATALOG.json,A,release/sources/configs/GRND0_MODEL_CATALOG.json,,,MPL-2.0,,written for GRND0 public release
configs/GRND0_MODEL_INVENTORY.json,A,release/sources/configs/GRND0_MODEL_INVENTORY.json,,,MPL-2.0,,written for GRND0 public release
configs/knowledge-sources.example.json,A,release/sources/configs/knowledge-sources.example.json,,,MPL-2.0,,written for GRND0 public release
configs/lanes.example.json,A,release/sources/configs/lanes.example.json,,,MPL-2.0,,written for GRND0 public release
configs/mcp/connections.yaml,A,release/sources/configs/mcp/connections.yaml,,,MPL-2.0,,written for GRND0 public release
data/harness_templates/abstention.json,A,release/sources/data/harness_templates/abstention.json,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
data/harness_templates/comprehension.json,A,release/sources/data/harness_templates/comprehension.json,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
data/harness_templates/recursive-context.json,A,release/sources/data/harness_templates/recursive-context.json,,,MPL-2.0,,written for GRND0 public release
data/harness_templates/reference-chat.json,A,release/sources/data/harness_templates/reference-chat.json,,,MPL-2.0,,written for GRND0 public release
data/harness_templates/subject-resolution.json,A,release/sources/data/harness_templates/subject-resolution.json,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
data/harness_templates/synthesis-outline.json,A,release/sources/data/harness_templates/synthesis-outline.json,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
data/harness_templates/synthesis-section.json,A,release/sources/data/harness_templates/synthesis-section.json,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
data/harness_templates/verification.json,A,release/sources/data/harness_templates/verification.json,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
data/self_knowledge/grnd0.md,A,release/sources/data/self_knowledge/grnd0.md,,,MPL-2.0,,derived only from public GRND0 documentation
docker-compose.yml,A,release/sources/docker-compose.yml,,,MPL-2.0,,written for GRND0 public release
docs/ARCHITECTURE.md,A,release/sources/docs/ARCHITECTURE.md,,,MPL-2.0,,written for GRND0 public release
docs/CONCEPTS.md,A,release/sources/docs/CONCEPTS.md,,,MPL-2.0,,written for GRND0 public release
docs/CONNECTING-DATA.md,A,release/sources/docs/CONNECTING-DATA.md,,,MPL-2.0,,written for GRND0 public release
docs/DIRECTION.md,A,release/sources/docs/DIRECTION.md,,,MPL-2.0,,written for GRND0 public release
docs/EXTENDING.md,A,release/sources/docs/EXTENDING.md,,,MPL-2.0,,written for GRND0 public release
docs/INFERENCE.md,A,release/sources/docs/INFERENCE.md,,,MPL-2.0,,written for the GRND0 local inference layer
evals/public/README.md,A,release/sources/evals/public/README.md,,,MPL-2.0,,written for GRND0 public release
evals/public/result.schema.json,A,release/sources/evals/public/result.schema.json,,,MPL-2.0,,written for GRND0 public release
grnd0,A,release/sources/grnd0,,,MPL-2.0,,written for GRND0 local model operations
grnd0.ps1,A,release/sources/grnd0.ps1,,,MPL-2.0,,written for GRND0 local model operations
models/README.md,A,release/sources/models/README.md,,,MPL-2.0,,written for the public model-store convention
packs/reference-chat-0.0.1/README.md,A,release/sources/packs/reference-chat-0.0.1/README.md,,,MPL-2.0,,written for GRND0 public release
packs/reference-chat-0.0.1/evals/locomo.yaml,A,release/sources/packs/reference-chat-0.0.1/evals/locomo.yaml,,,MPL-2.0,,written for GRND0 public release
packs/reference-chat-0.0.1/evals/simpleqa.yaml,A,release/sources/packs/reference-chat-0.0.1/evals/simpleqa.yaml,,,MPL-2.0,,written for GRND0 public release
packs/reference-chat-0.0.1/hardware/strix-halo-128gb.yaml,A,release/sources/packs/reference-chat-0.0.1/hardware/strix-halo-128gb.yaml,,,MPL-2.0,,written for GRND0 public release
packs/reference-chat-0.0.1/models.yaml,A,release/sources/packs/reference-chat-0.0.1/models.yaml,,,MPL-2.0,,written for GRND0 public release
packs/reference-chat-0.0.1/pack.yaml,A,release/sources/packs/reference-chat-0.0.1/pack.yaml,,,MPL-2.0,,written for GRND0 public release
packs/reference-chat-0.0.1/routing.yaml,A,release/sources/packs/reference-chat-0.0.1/routing.yaml,,,MPL-2.0,,written for GRND0 public release
pyproject.toml,A,release/sources/pyproject.toml,,,MPL-2.0,,written for GRND0 public release
release-manifest.yaml,A,release-manifest.yaml,,,MPL-2.0,,explicit public allowlist
scripts/drive-backend-routing.py,A,release/sources/scripts/drive-backend-routing.py,,,MPL-2.0,,written for per-lane backend routing verification
scripts/drive-showcase.py,A,release/sources/scripts/drive-showcase.py,,,MPL-2.0,,written for GRND0 public release
scripts/openai-conformance-fixture.py,A,release/sources/scripts/openai-conformance-fixture.py,,,MPL-2.0,,written as a routing-only OpenAI compatibility fixture
sdk/LICENSE,C,release/sources/sdk/LICENSE,https://www.apache.org/licenses/LICENSE-2.0,2.0,Apache-2.0,unaltered license text,none
sdk/README.md,A,release/sources/sdk/README.md,,,Apache-2.0,,written for GRND0 public release
sdk/python/grnd0/__init__.py,A,release/sources/sdk/python/grnd0/__init__.py,,,Apache-2.0,,written for GRND0 public release
sdk/python/grnd0/client.py,A,release/sources/sdk/python/grnd0/client.py,,,Apache-2.0,,written for GRND0 public release
services/inference_gateway/Dockerfile,A,release/sources/services/inference_gateway/Dockerfile,,,MPL-2.0,,written for GRND0 public release
services/inference_gateway/app/__init__.py,A,release/sources/services/inference_gateway/app/__init__.py,,,MPL-2.0,,written for GRND0 public release
services/inference_gateway/app/main.py,A,release/sources/services/inference_gateway/app/main.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/Dockerfile,A,release/sources/services/orchestrator_daemon/Dockerfile,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/__init__.py,A,release/sources/services/orchestrator_daemon/app/__init__.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/api/__init__.py,A,release/sources/services/orchestrator_daemon/app/api/__init__.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/api/routes.py,A,release/sources/services/orchestrator_daemon/app/api/routes.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/cognitive_loop/__init__.py,A,release/sources/services/orchestrator_daemon/app/cognitive_loop/__init__.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/cognitive_loop/comprehension.py,A,release/sources/services/orchestrator_daemon/app/cognitive_loop/comprehension.py,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
services/orchestrator_daemon/app/cognitive_loop/discourse.py,A,release/sources/services/orchestrator_daemon/app/cognitive_loop/discourse.py,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
services/orchestrator_daemon/app/cognitive_loop/loop.py,A,release/sources/services/orchestrator_daemon/app/cognitive_loop/loop.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/cognitive_loop/provider.py,A,release/sources/services/orchestrator_daemon/app/cognitive_loop/provider.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/cognitive_loop/recursive_context.py,A,release/sources/services/orchestrator_daemon/app/cognitive_loop/recursive_context.py,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
services/orchestrator_daemon/app/cognitive_loop/routing.py,A,release/sources/services/orchestrator_daemon/app/cognitive_loop/routing.py,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
services/orchestrator_daemon/app/cognitive_loop/structured_synthesis.py,A,release/sources/services/orchestrator_daemon/app/cognitive_loop/structured_synthesis.py,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
services/orchestrator_daemon/app/cognitive_loop/types.py,A,release/sources/services/orchestrator_daemon/app/cognitive_loop/types.py,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
services/orchestrator_daemon/app/cognitive_loop/verification.py,A,release/sources/services/orchestrator_daemon/app/cognitive_loop/verification.py,,,MPL-2.0,,extracted and cleaned from the GRND0 conversation runtime
services/orchestrator_daemon/app/config.py,A,release/sources/services/orchestrator_daemon/app/config.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/connectors/__init__.py,A,release/sources/services/orchestrator_daemon/app/connectors/__init__.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/connectors/base.py,A,release/sources/services/orchestrator_daemon/app/connectors/base.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/connectors/gitea.py,A,release/sources/services/orchestrator_daemon/app/connectors/gitea.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/connectors/local_files.py,A,release/sources/services/orchestrator_daemon/app/connectors/local_files.py,,,MPL-2.0,,extracted and cleaned from the GRND0 retrieval runtime
services/orchestrator_daemon/app/connectors/registry.py,A,release/sources/services/orchestrator_daemon/app/connectors/registry.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/connectors/vector_http.py,A,release/sources/services/orchestrator_daemon/app/connectors/vector_http.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/connectors/web.py,A,release/sources/services/orchestrator_daemon/app/connectors/web.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/harness_registry.py,A,release/sources/services/orchestrator_daemon/app/harness_registry.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/main.py,A,release/sources/services/orchestrator_daemon/app/main.py,,,MPL-2.0,,written for GRND0 public release
services/orchestrator_daemon/app/store.py,A,release/sources/services/orchestrator_daemon/app/store.py,,,MPL-2.0,,written for GRND0 public release
